repo_name,cat1,policy_first_date,human_label,language,total_prs_db
GoBetterAuth/go-better-auth,permissive,2026-04-02 05:49:51,Y,Go,46
gobley/gobley,permissive,2025-09-06 09:43:29,Y,Kotlin,133
goharbor/harbor-cli,permissive,2026-04-07 13:25:19,Y,Go,540
google-deepmind/alphafold3,permissive,2026-02-09 08:41:32,Y,Python,65
google/adk-java,permissive,2025-06-20 18:20:05,Y,Java,980
google/adk-js,permissive,2025-08-14 22:35:08,Y,TypeScript,188
google/heir,permissive,2026-03-05 04:33:58,Y,C++,2058
greenpau/caddy-security,permissive,2026-03-18 10:03:25,Y,Go,20
greenpau/go-authcrunch,prohibited,2026-03-18 10:00:30,Y,Go,72
greptimeteam/greptimedb,permissive,2025-12-23 14:20:21,Y,Rust,5932
gungraun/gungraun,permissive,2026-03-17 16:26:59,Y,Rust,493
h3ravel/framework,permissive,2025-10-02 11:56:55,Y,TypeScript,38
hacspec/hax,permissive,2026-02-13 10:22:13,Y,OCaml,1069
hamza417/inure,permissive,2025-11-17 06:22:11,Y,Kotlin,364
happier-dev/happier,permissive,2026-02-26 12:46:08,Y,TypeScript,70
harrison314/BouncyHsm,permissive,2026-03-23 19:24:22,Y,C#,31
HelpChat/DeluxeMenus,permissive,2025-06-08 15:43:11,Y,Java,113
hermetoproject/cachi2,permissive,2026-02-23 16:28:44,Y,Python,1232
hermetoproject/hermeto,permissive,2026-02-23 16:28:44,Y,Python,1232
HexmosTech/FreeDevTools,permissive,2025-09-30 11:34:03,Y,TypeScript,112
hhat-lang/hhat_lang,permissive,2026-02-16 04:24:49,Y,Python,70
HiEventsDev/hi.events,permissive,2026-04-06 21:01:19,Y,PHP,729
hikari-no-yume/touchhle,prohibited,2025-07-14 13:13:04,Y,Rust,112
hirotomoyamada/yamada-ui,permissive,2026-03-17 09:21:33,Y,TypeScript,3727
huacnlee/gpui-component,permissive,2025-09-08 02:16:11,Y,Rust,1756
huggingface/lerobot,permissive,2026-02-28 13:41:28,Y,Python,2182
huggingface/safetensors,permissive,2026-03-05 11:00:19,Y,Python,475
hummingbird-player/hummingbird,permissive,2026-03-20 13:50:35,Y,Rust,101
hummingbird-project/hummingbird,permissive,2026-03-27 17:51:57,Y,Swift,612
hummingbird-project/hummingbird-websocket,permissive,2026-03-28 10:21:25,Y,Swift,109
