repo_name,L1_hit,L2_hit
buresdv/cork,False,True
burn-rs/burn,True,True
bytedance/flowgram.ai,False,True
c2siorg/b0bot,True,True
cachebag/nmrs,True,True
cactus-compute/cactus,True,True
caelestia-dots/caelestia,False,True
caelestia-dots/cli,False,True
callstackincubator/ai,False,True
camel-ai/camel,True,True
canonical/concierge,True,True
capsize-games/airunner,False,True
carbon-design-system/carbon-ai-chat,False,True
carlos-algms/agentic.nvim,True,True
cel-rust/cel-rust,True,True
celest-dev/celest,True,False
centralmind/gateway,False,True
cerbos/cerbos,True,True
charliermarsh/ruff,False,True
chaynHQ/bloom-backend,True,False
chaynHQ/bloom-frontend,True,False
checkpoint-restore/checkpointctl,True,True
chimera-linux/cports,True,False
chonkie-inc/chonkie,False,True
chunkhound/chunkhound,True,True
cjpais/Handy,True,False
clarkmcc/cel-rust,True,True
clickvote/clickvote,True,True
clidey/whodb,True,True
cline/cline,True,True
clinebot/cline,True,True
cloudprober/cloudprober,True,False
cloudshipai/station,True,True
cmackenzie1/torii-rs,True,True
cmintey/wishlist,True,True
code-kern-ai/bricks,False,True
code-yeongyu/oh-my-openagent,True,True
code-yeongyu/oh-my-opencode,True,True
codemod-com/codemod,True,True
codemod/codemod,True,True
codinit-dev/codinit-dev,False,True
comet-ml/comet-llm,True,False
comet-ml/opik,True,False
commetchat/commet,True,True
compio-rs/compio,True,False
connorgallopo/Tracearr,True,True
containerbuildsystem/cachi2,True,True
containers/ai-lab-recipes,False,True
containers/container-libs,True,True
containers/ramalama,True,True
containers/ramalama-stack,True,False
controlplaneio-fluxcd/flux-operator,True,True
coollabsio/coolify,True,True
cosdata/cosdata,False,True
cosmic-utils/clipboard-manager,True,True
cpacker/MemGPT,True,True
cremich/promptz,True,True
crewAIInc/crewAI,True,True
crmne/ruby_llm,True,True
crowddotdev/crowd.dev,True,True
cryspen/hax,True,True
cue-lang/cue,True,True
cuga-project/cuga-agent,True,False
cyberofficial/synthalingua,True,True
d-eniz/jupymd,True,False
dahlia/fedify,True,True
dalance/veryl,True,True
damontecres/Wholphin,True,True
damus-io/damus,True,False
danielbrendel/hortusfox-web,True,False
danielmiessler/fabric,True,False
databricks-solutions/ai-dev-kit,False,True
databrickslabs/kasal,False,True
databuddy-analytics/Databuddy,False,True
datapizza-labs/datapizza-ai,False,True
datastax/astra-assistants-api,False,True
davidamacey/OpenTranscribe,True,True
davidcole1340/ext-php-rs,True,True
davidlattimore/wild,False,True
daxa-ai/pebblo,False,True
dbt-labs/dbt-mcp,True,True
deadlock-mod-manager/deadlock-mod-manager,True,True
deborahgu/soundcork,False,True
decision-labs/geoai.js,False,True
deel-ai/puncc,False,True
defenseunicorns/uds-core,False,True
deislabs/ratify,True,False
delta-incubator/delta-kernel-rs,True,True
delta-io/delta-kernel-rs,True,True
delta-rs/delta,False,True
deltav-station/delta-v,True,False
descendant-ai/functime,False,True
developmentseed/eoapi-k8s,True,True
dgunning/edgartools,True,False
dhruvbajaj13/Splitr,True,False
different-ai/file-organizer-2000,True,True
different-ai/note-companion,True,True
diggerhq/digger,True,True
digitalpalidictionary/dpd-db,True,False
dloebl/cgif,False,True
dlvhdr/diffnav,True,True
dlvhdr/gh-dash,True,True
dmf-mxl/mxl,True,True
documenso/documenso,True,True
dograh-hq/dograh,False,True
dongdongbh/Mindwtr,True,False
doobidoo/mcp-memory-service,True,True
dotimplement/HealthChain,True,True
dstackai/dstack,True,True
dune3d/dune3d,True,False
duriantaco/skylos,True,True
dvankley/firefly-plaid-connector-2,True,True
dyad-sh/dyad,True,False
e2b-dev/agent-protocol,False,True
eBay/evo-web,True,True
earendil-works/absurd,True,True
eigent-ai/eigent,True,True
electrikmilk/cherri,True,True
elgatosf/streamdeck,True,True
embrace-io/embrace-android-sdk,False,True
emilyploszaj/emi,True,False
emlearn/emlearn-micropython,True,True
empirecodefoundation/ui,False,True
eneo-ai/eneo,False,True
entropy-research/Devon,False,True
enuno/unifi-mcp-server,True,True
envoyproxy/ai-gateway,True,True
epam/ai-dial,False,True
epam/ai-dial-core,False,True
epam/ai-dial-sdk,False,True
ephemeraHQ/converse-app,True,True
ethersync/ethersync,False,True
ethz-spylab/agentdojo,False,True
eventual-inc/daft,False,True
extphprs/ext-php-rs,True,True
eyaltoledano/claude-task-master,True,True
ezyang/codemcp,True,False
facebook/pyrefly,True,True
fallenbagel/jellyseerr,True,True
farion1231/cc-switch,True,True
farm-fe/farm,True,True
fastplotlib/fastplotlib,True,True
feder-cr/Auto_Jobs_Applier_AIHawk,False,True
fedify-dev/fedify,True,True
felixarntz/ai-services,False,True
felladrin/MiniSearch,True,False
finops-open-cost-and-usage-spec/focus_spec,True,True
finos/ai-governance-framework,False,True
firecrawl/firecrawl,False,True
flare-foundation/flare-ai-kit,False,True
flipcomputing/flock,False,True
floatpane/matcha,True,True
floppy/van_dam,True,True
fohrloop/wakepy,True,True
foss42/api-dash,True,True
foss42/apidash,True,True
fossbilling/fossbilling,True,True
foundry-rs/foundry,True,True
frankbria/ralph-claude-code,False,True
freenet/freenet-core,True,True
freenet/locutus,True,True
freenet/river,True,True
functime-org/functime,False,True
funstory-ai/BabelDOC,False,True
fuzzingbrain/afc-crs-all-you-need-is-a-fuzzing-brain,True,False
gabboman/wafrn,True,True
gabrieldrn/carbon-compose,True,False
generative-computing/mellea,True,True
genomoncology/biomcp,True,False
getarcaneapp/arcane,True,True
getfloresta/Floresta,True,True
gethomepage/homepage,True,True
getkyo/kyo,True,False
getmaxun/maxun,True,True
ggerganov/llama.cpp,True,True
ggml-org/llama.cpp,True,True
ghostty-org/ghostty,True,True
git-ai-project/git-ai,True,True
github/awesome-copilot,True,True
github/spec-kit,True,True
gitroomhq/postiz-app,True,True
gittower/git-flow-next,True,True
gittuf/gittuf,False,True
glass-dev/glass,True,False
gnolang/gno,True,True
go-skynet/LocalAI,True,True
gobley/gobley,True,True
goharbor/harbor-cli,True,True
google-deepmind/alphafold3,True,True
google-gemini/gemini-cli,True,True
google/adk-java,True,True
google/adk-js,True,True
google/heir,True,True
google/langextract,False,True
googlecloudplatform/contact-center-ai-samples,False,True
googlecloudplatform/document-ai-samples,False,True
googlecloudplatform/vertex-pipelines-end-to-end-samples,False,True
googlemaps/android-maps-compose,True,True
greenpau/caddy-security,True,False
greenpau/go-authcrunch,True,False
greptimeteam/greptimedb,True,True
groeimetai/snow-flow,True,True
guidance-ai/guidance,False,True
gungraun/gungraun,True,True
guqiong96/Lvllm,False,True
h3ravel/framework,True,True
hacspec/hax,True,True
hamza417/inure,True,False
happier-dev/happier,True,True
harrison314/BouncyHsm,False,True
harshguptakiet/Cura-Genie,True,True
hello-robot/stretch_ai,True,True
hermetoproject/cachi2,True,True
hermetoproject/hermeto,True,True
hezarai/hezar,True,True
hhat-lang/hhat_lang,True,True
hidai25/eval-view,False,True
hikari-no-yume/touchhle,True,True
himmelblau-idm/himmelblau,True,True
hirotomoyamada/yamada-ui,False,True
historysciencelab/HistoryAIToolkit,True,True
hkjarral/AVA-AI-Voice-Agent-for-Asterisk,True,True
hkjarral/Asterisk-AI-Voice-Agent,True,True
hoangsonww/AI-Gov-Content-Curator,False,True
holistic-ai/holisticai,False,True
huacnlee/gpui-component,True,False
huggingface/lerobot,False,True
huggingface/safetensors,False,True
hummingbird-player/hummingbird,True,True
hummingbird-project/hummingbird,True,True
hummingbird-project/hummingbird-websocket,True,True
hwchase17/langchainjs,False,True
hydraide/hydraide,True,True
hynek/stamina,False,True
