repo_name,bin,new_prs,total_closed,review_comments_mean,close_latency_h,prohibited,language,stars,contributors,commits,repo_age_days,time,intervention,time_after,log_new_prs,log_total_closed,log_review_comments_mean,log_close_latency_h,log_stars,log_contributors,log_commits,log_repo_age_days,prs_closed_in_bin,log_prs_closed_in_bin
TheNickOfTime/handbrake-web,1,30,30,0.0,56.060472222222224,0,TypeScript,698,3,383,589,6,1,1,3.4339872044851463,3.4339872044851463,0.0,4.044111621640037,6.54965074223381,1.3862943611198906,5.950642552587727,6.380122536899765,28,3.367295829986474
TheNickOfTime/handbrake-web,2,30,29,0.0333333333333333,20.17958812260536,0,TypeScript,698,3,383,589,7,1,2,3.4339872044851463,3.4011973816621555,0.0327898228229909,3.053037893459404,6.54965074223381,1.3862943611198906,5.950642552587727,6.380122536899765,30,3.4339872044851463
TheNickOfTime/handbrake-web,3,5,4,0.0,175.86409722222223,0,TypeScript,698,3,383,589,8,1,3,1.791759469228055,1.6094379124341005,0.0,5.175381625351162,6.54965074223381,1.3862943611198906,5.950642552587727,6.380122536899765,4,1.6094379124341003
TheNickOfTime/handbrake-web,4,3,3,0.0,391.2830555555556,0,TypeScript,698,3,383,589,9,1,4,1.3862943611198906,1.3862943611198906,0.0,5.971983659714635,6.54965074223381,1.3862943611198906,5.950642552587727,6.380122536899765,1,0.6931471805599453
xmtp/libxmtp,-4,116,116,1.6293103448275863,112.62160680076629,0,Rust,103,54,2384,1062,1,0,0,4.762173934797756,4.762173934797756,0.966721585501047,4.73287368891216,4.6443908991413725,4.007333185232471,7.776954403322442,6.968850378341948,91,4.5217885770490405
xmtp/libxmtp,-3,54,54,2.1666666666666665,48.65065329218108,0,Rust,103,54,2384,1062,2,0,0,4.007333185232471,4.007333185232471,1.1526795099383853,3.905011548353883,4.6443908991413725,4.007333185232471,7.776954403322442,6.968850378341948,46,3.8501476017100584
xmtp/libxmtp,-2,85,85,2.5647058823529414,62.88671895424838,0,Rust,103,54,2384,1062,3,0,0,4.454347296253507,4.454347296253507,1.2710815490190528,4.157111498689962,4.6443908991413725,4.007333185232471,7.776954403322442,6.968850378341948,89,4.499809670330265
xmtp/libxmtp,-1,99,99,2.212121212121212,281.4501795735129,0,Rust,103,54,2384,1062,4,0,0,4.605170185988092,4.605170185988092,1.166931532645587,5.643502179542048,4.6443908991413725,4.007333185232471,7.776954403322442,6.968850378341948,95,4.564348191467836
xmtp/libxmtp,1,99,99,2.2323232323232323,319.9736672278339,0,Rust,103,54,2384,1062,6,1,1,4.605170185988092,4.605170185988092,1.1732011456591822,5.77135908620693,4.6443908991413725,4.007333185232471,7.776954403322442,6.968850378341948,108,4.6913478822291435
xmtp/libxmtp,2,88,88,2.3181818181818183,348.4452872474747,0,Rust,103,54,2384,1062,7,1,2,4.48863636973214,4.48863636973214,1.199416987790075,5.856347003632384,4.6443908991413725,4.007333185232471,7.776954403322442,6.968850378341948,69,4.248495242049359
